game_name,hyperlink
airmech-strike,https://www.fpsbenchmark.com/airmech-strike
apexlegends,https://www.fpsbenchmark.com/apexlegends
a-way-out,https://www.fpsbenchmark.com/a-way-out
battlefield-4,https://www.fpsbenchmark.com/battlefield-4
battletech,https://www.fpsbenchmark.com/battletech
call-of-duty-ww2,https://www.fpsbenchmark.com/call-of-duty-ww2
csgo,https://www.fpsbenchmark.com/csgo
destiny2,https://www.fpsbenchmark.com/destiny2
dota2,https://www.fpsbenchmark.com/dota2
far-cry-5,https://www.fpsbenchmark.com/far-cry-5
fortnite,https://www.fpsbenchmark.com/fortnite
frostpunk,https://www.fpsbenchmark.com/frostpunk
gta,https://www.fpsbenchmark.com/gta
lol,https://www.fpsbenchmark.com/lol
overwatch,https://www.fpsbenchmark.com/overwatch
path-of-exile,https://www.fpsbenchmark.com/path-of-exile
pubg,https://www.fpsbenchmark.com/pubg
radical-heights,https://www.fpsbenchmark.com/radical-heights
rainbow6siege,https://www.fpsbenchmark.com/rainbow6siege
sea-of-thieves,https://www.fpsbenchmark.com/sea-of-thieves
starcraft-2,https://www.fpsbenchmark.com/starcraft-2
total-war-three-kingdoms,https://www.fpsbenchmark.com/total-war-three-kingdoms
warframe,https://www.fpsbenchmark.com/warframe
world-of-tanks,https://www.fpsbenchmark.com/world-of-tanks
